"","female","edu","age","participation","sexism"
"843",0,6,33,1,0.5
"844",1,5,NA,6,0.1875
"845",1,3,39,1,0.5625
"846",0,6,34,3,0.3125
"847",1,3,33,0,0.4375
"848",0,5,62,1,0.5
"849",0,6,73,5,0
"850",1,2,90,2,0.75
"851",1,3,59,0,0.5
"852",0,5,82,NA,0.4375
"853",1,3,90,0,0.5
"854",0,2,30,3,0.375
"855",0,3,49,1,0.5625
"856",0,4,75,3,0.3125
"857",0,6,34,1,0.125
"858",1,6,41,2,0.0625
"859",0,5,26,NA,0.4375
"860",0,2,36,0,0.4375
"861",1,3,56,NA,0.0625
"862",0,3,20,3,0.0625
"863",1,6,NA,1,0.0625
"864",1,3,71,0,0.625
"865",1,6,35,3,0.125
"866",0,2,66,NA,0.5
"867",1,5,26,1,0.25
"868",0,5,41,1,0.4375
"869",1,5,26,1,0.5
"870",1,3,24,0,NA
"871",0,6,83,NA,0.6875
"872",1,5,70,1,0.375
"873",0,6,81,2,0.3125
"874",0,5,60,3,0.5625
"875",1,2,51,NA,0.5625
"876",0,6,41,1,0
"877",1,6,32,2,0
"878",1,3,19,1,0
"879",0,2,21,8,0.75
"880",1,2,24,0,0.9375
"881",1,2,60,0,0.1875
"882",1,4,41,1,0.5
"883",1,5,39,NA,NA
"884",1,4,80,0,0.4375
"885",1,1,28,1,0.6875
"886",0,6,79,NA,0.3125
"887",0,6,30,0,0
"888",1,5,52,NA,0.25
"889",1,5,38,1,0.1875
"890",0,5,32,1,0
"891",1,1,20,1,0.25
"892",1,4,63,1,0.1875
"893",0,6,55,2,0.0625
"894",1,6,60,2,0.0625
"895",1,4,35,1,0.1875
"896",1,4,67,1,0.1875
"897",1,4,58,0,0.625
"898",1,6,28,5,0.0625
"899",1,3,23,1,0.5625
"900",1,6,37,2,0.0625
"901",1,6,64,5,0.25
"902",1,6,64,1,0.3125
"903",1,2,46,NA,0.5
